id,amount,type,raw_merchant,transaction_date,merchant_name,category,mcc
1028,204.0,debit,Amazon India,1746469800000,AMAZON INDIA,Shopping,
1021,968.0,debit,RAMDEV MEDICAL,1746729000000,RAMDEV MEDICAL,Health,
1022,1171.0,debit,Blinkit,1746729000000,BLINKIT,Groceries,
1019,559.0,debit,RAMDEV MEDICAL,1746815400000,RAMDEV MEDICAL,Health,
1005,1815.0,debit,Amazon India,1747420200000,AMAZON INDIA,Shopping,
1002,603.0,debit,Blinkit,1747506600000,BLINKIT,Groceries,
1003,344.0,debit,Amazon India,1747506600000,AMAZON INDIA,Shopping,
992,1112.85,debit,Amazon India,1747938600000,AMAZON INDIA,Shopping,
994,79.0,debit,ASTER DM HEALTHCARE LIMITED,1747938600000,ASTER DM HEALTHCARE LIMIT,Health,
995,1119.0,debit,ASTER DM HEALTHCARE LIMITED,1747938600000,ASTER DM HEALTHCARE LIMIT,Health,
996,1200.0,debit,ASTER DM HEALTHCARE LIMITED,1747938600000,ASTER DM HEALTHCARE LIMIT,Health,
987,800.0,debit,Blinkit,1748284200000,BLINKIT,Groceries,
975,2680.0,debit,MYNTRA DESIGNS PRIVATE LIMITED,1748543400000,MYNTRA DESIGNS PRIVATE LI,Shopping,
973,754.0,debit,WWW MYNTRA COM,1748629800000,WWW MYNTRA COM,Shopping,
974,50.0,debit,WWW MYNTRA COM,1748629800000,WWW MYNTRA COM,Shopping,
971,787.0,debit,Blinkit,1748716200000,BLINKIT,Groceries,
967,180.0,debit,RAMDEV MEDICAL,1748889000000,RAMDEV MEDICAL,Health,
968,918.0,debit,RAMDEV MEDICAL,1748889000000,RAMDEV MEDICAL,Health,
961,112.0,debit,WWW MYNTRA COM,1749061800000,WWW MYNTRA COM,Shopping,
956,1004.0,debit,WWW MYNTRA COM,1749234600000,WWW MYNTRA COM,Shopping,
944,184.0,debit,WWW MYNTRA COM,1749925800000,WWW MYNTRA COM,Shopping,
943,361.0,debit,WWW MYNTRA COM,1750098600000,WWW MYNTRA COM,Shopping,
935,505.0,debit,Blinkit,1750357800000,BLINKIT,Groceries,
933,569.0,debit,WWW MYNTRA COM,1750530600000,WWW MYNTRA COM,Shopping,
928,889.0,debit,WWW MYNTRA COM,1750703400000,WWW MYNTRA COM,Shopping,
924,467.0,debit,WWW MYNTRA COM,1750789800000,WWW MYNTRA COM,Shopping,
918,863.0,debit,WWW MYNTRA COM,1751049000000,WWW MYNTRA COM,Shopping,
898,2034.0,debit,WWW MYNTRA COM,1751913000000,WWW MYNTRA COM,Shopping,
899,1945.0,debit,WWW MYNTRA COM,1751913000000,WWW MYNTRA COM,Shopping,
900,110.0,debit,WWW MYNTRA COM,1751913000000,WWW MYNTRA COM,Shopping,
895,249.0,debit,Licious,1752085800000,LICIOUS,Food & Dining,
889,474.0,debit,Amazon India,1752258600000,AMAZON INDIA,Shopping,
884,366.0,debit,Amazon India,1752345000000,AMAZON INDIA,Shopping,
880,250.0,debit,Blinkit,1752431400000,BLINKIT,Groceries,
859,723.0,debit,LICIOUS,1753122600000,LICIOUS,Food & Dining,
827,471.0,debit,Licious,1754332200000,LICIOUS,Food & Dining,
813,893.0,debit,MYNTRA DESIGNS PRIVATE LIMITED,1754937000000,MYNTRA DESIGNS PRIVATE LI,Shopping,
811,364.0,debit,Licious,1755023400000,LICIOUS,Food & Dining,
812,694.0,debit,Licious,1755023400000,LICIOUS,Food & Dining,
804,1001.0,debit,Amazon India,1755369000000,AMAZON INDIA,Shopping,
805,494.0,debit,Amazon India,1755369000000,AMAZON INDIA,Shopping,
801,345.0,debit,RAMDEV MEDICAL,1755541800000,RAMDEV MEDICAL,Health,
780,1113.82,debit,Amazon India,1756405800000,AMAZON INDIA,Shopping,
771,534.0,debit,Licious,1756751400000,LICIOUS,Food & Dining,
764,1200.0,debit,ASTER DM HEALTHCARE LIMITED,1756924200000,ASTER DM HEALTHCARE LIMIT,Health,
737,504.0,debit,Amazon India,1757961000000,AMAZON INDIA,Shopping,
728,1328.0,debit,Amazon India,1758393000000,AMAZON INDIA,Shopping,
710,1535.22,debit,Amazon India,1759170600000,AMAZON INDIA,Shopping,
670,414.0,debit,Amazon India,1760380200000,AMAZON INDIA,Shopping,
669,1270.0,debit,Licious,1760466600000,LICIOUS,Food & Dining,
667,359.0,debit,Licious,1760553000000,LICIOUS,Food & Dining,
647,492.0,debit,Blinkit,1761330600000,BLINKIT,Groceries,
626,446.0,debit,Blinkit,1762108200000,BLINKIT,Groceries,
614,55.0,debit,RAMDEV MEDICAL,1762453800000,RAMDEV MEDICAL,Health,
607,3500.0,debit,ASTER DM HEALTHCARE LIMITED,1762885800000,ASTER DM HEALTHCARE LIMIT,Health,
605,450.0,debit,ASTER DM HEALTHCARE LIMITED,1762972200000,ASTER DM HEALTHCARE LIMIT,Health,
581,504.0,debit,Amazon India,1763577000000,AMAZON INDIA,Shopping,
558,595.0,debit,Licious,1765305000000,LICIOUS,Food & Dining,
506,140.0,debit,Blinkit,1767378600000,BLINKIT,Groceries,
467,496.1,debit,Amazon India,1769020200000,AMAZON INDIA,Shopping,
454,581.0,debit,Amazon India,1769711400000,AMAZON INDIA,Shopping,
451,303.0,debit,Amazon India,1769884200000,AMAZON INDIA,Shopping,
452,1736.0,debit,Amazon India,1769884200000,AMAZON INDIA,Shopping,
446,637.0,debit,Amazon India,1769970600000,AMAZON INDIA,Shopping,
428,434.0,debit,Amazon India,1770489000000,AMAZON INDIA,Shopping,
429,310.0,debit,Amazon India,1770489000000,AMAZON INDIA,Shopping,
397,623.0,debit,FRESHTOHOME,1771353000000,FRESHTOHOME,Food & Dining,
368,1587.0,debit,Blinkit,1772389800000,BLINKIT,Groceries,
350,420.0,debit,Licious,1773167400000,LICIOUS,Food & Dining,
347,540.0,debit,Licious,1773253800000,LICIOUS,Food & Dining,
348,19.0,debit,Licious,1773253800000,LICIOUS,Food & Dining,
331,717.0,debit,RAMDEV MEDICAL,1773772200000,RAMDEV MEDICAL,Health,
329,951.0,debit,RAMDEV MEDICAL,1773858600000,RAMDEV MEDICAL,Health,
330,139.0,debit,RAMDEV MEDICAL,1773858600000,RAMDEV MEDICAL,Health,
327,562.33,debit,Myntra Designs Private Li,1774031400000,MYNTRA DESIGNS PRIVATE LI,Shopping,
324,748.0,debit,Licious,1774377000000,LICIOUS,Food & Dining,
291,773.0,debit,Amazon India,1775759400000,AMAZON INDIA,Shopping,
290,351.0,debit,Firstclub1,1775845800000,FIRSTCLUB,Groceries,
272,788.0,debit,Blinkit,1776969000000,BLINKIT,Groceries,
264,544.0,debit,SWIGGY INSTAMART PRIVATE,1778092200000,SWIGGY INSTAMART PRIVATE,Groceries,
260,1053.0,debit,Blinkit,1778697000000,BLINKIT,Groceries,
252,566.0,debit,Blinkit,1779388200000,BLINKIT,Groceries,
248,1100.0,debit,ASTER DM HEALTHCARE LIMIT,1779474600000,ASTER DM HEALTHCARE LIMIT,Health,
250,770.4,debit,Amazon India,1779474600000,AMAZON INDIA,Shopping,
242,436.0,debit,SWIGGY INSTAMART,1779733800000,SWIGGY INSTAMART PRIVATE,Groceries,
240,1649.0,debit,SWIGGY INSTAMART PRIVATE,1779906600000,SWIGGY INSTAMART PRIVATE,Groceries,
232,258.0,debit,FirstClub,1780165800000,FIRSTCLUB,Groceries,
235,821.0,debit,SWIGGY INSTAMART PRIVATE,1780165800000,SWIGGY INSTAMART PRIVATE,Groceries,
224,154.0,debit,MYNTRA DESIGNS PRIVATE LI,1780425000000,MYNTRA DESIGNS PRIVATE LI,Shopping,
222,360.0,debit,Blinkit,1780597800000,BLINKIT,Groceries,
212,990.0,debit,Blinkit,1780684200000,BLINKIT,Groceries,
213,1200.0,debit,ASTER DM HEALTHCARE LIMIT,1780684200000,ASTER DM HEALTHCARE LIMIT,Health,
